day,licor,id,Photo,Ci,Tleaf,PARi
1,anderegg,H3-1,4.131610373,112.5252016,25.90732143,2000.000357
1,anderegg,H3-1,3.416235793,102.1254728,25.92328148,1999.988889
1,anderegg,H3-1,2.805263791,92.99085632,25.93693571,2000.000357
1,anderegg,H3-1,2.1933834,81.9089569,25.96157407,1999.995926
1,anderegg,H3-1,12.87348436,277.6637509,26.09157097,1999.98129
1,anderegg,H3-1,12.66216378,279.37944,26.08873793,2000.021379
1,anderegg,H3-1,12.47372896,282.1903309,26.07228571,2000.020357
1,anderegg,H3-1,12.49803433,284.1479544,26.04257407,2000.031111
1,anderegg,H3-1,12.52279632,289.5567244,26.00205357,2000.026071
1,anderegg,H3-1,12.79517818,298.8833636,25.95417778,2000.014074
1,anderegg,H3-1,13.33488398,310.8423392,25.92490357,2000.004643
1,anderegg,H3-1,13.75010773,322.0901067,25.91533704,1999.983333
1,anderegg,H3-1,14.27855121,331.0878265,25.92373571,1999.980357
1,anderegg,H3-1,14.57312951,344.4089026,25.93042963,2000.008519
1,anderegg,H3-1,15.076035,354.3619547,25.93166786,2000.0275
1,anderegg,H3-1,15.38986398,367.8529134,25.92573704,2000.046296
1,anderegg,H3-1,15.77713775,379.5956844,25.90936786,2000.02
1,anderegg,H3-1,16.20273045,392.6313171,25.89039259,1999.990741
1,anderegg,H3-1,16.62244938,403.9358434,25.87699286,1999.951071
1,anderegg,H3-1,16.91058685,418.7227713,25.86868148,1999.967778
1,anderegg,H3-1,17.32904807,429.7263425,25.87257143,1999.9775
1,anderegg,H3-1,17.62248904,441.6528969,25.87133929,1999.987857
1,anderegg,H3-1,17.74648963,458.3819695,25.87196429,2000.006429
1,anderegg,H3-1,18.23548219,469.3664521,25.87201071,2000.03
1,anderegg,H3-1,18.41859274,485.3397059,25.87888214,2000.054643
1,anderegg,H3-1,18.58063732,497.5231095,25.888875,2000.044286
1,anderegg,H3-1,18.79258864,512.8493517,25.89872143,2000.026429
1,anderegg,H3-1,18.81934035,529.4721979,25.90857037,2000.002593
1,anderegg,H3-1,19.28851722,540.4453244,25.918825,1999.991429
1,anderegg,H3-1,19.26818488,557.2817374,25.93603704,1999.988889
1,anderegg,H3-1,19.62158305,569.0339522,25.95289643,1999.9975
1,anderegg,H3-1,19.59902053,586.5667323,25.97939259,2000.008148
1,anderegg,H3-1,19.82801165,599.8084272,26.00644286,2000.007857
1,anderegg,H3-1,19.7134439,612.3078376,26.03727778,2000.01
1,anderegg,H3-1,19.85902988,626.4953978,26.05015714,2000.002857
1,anderegg,H3-1,20.22799997,641.6150738,26.05018519,2000.023333
1,anderegg,H3-1,20.1063762,657.2385756,26.04486786,1999.9975
1,anderegg,H3-1,19.97289377,676.1106738,26.04417407,1999.998889
1,anderegg,H3-1,20.30224468,687.7771498,26.04635185,1999.987037
1,anderegg,H3-1,20.50449691,702.9554191,26.04193214,1999.996786
